group_name,Expert System Material Number,MaterialID,Output Name,tetracorder_file,MixtureType,Targets,Dominant_Mineral,Description,Spectral Library file,Chapter,Library Spectrum TITLE,Library
group.2um,,,calcite 80wt%+ kaolinite CM9 GDS213,carbonate_calcite+0.2kaolwxl,Intimate,"Calcite, Kaolinite",Calcite,80% Calcite + 20% kaolinite,sl1/usgs/library06/ASCII/S/calcite_mixture_gds213.24657.asc,S,Calcite.80wt+Kaol_CM9 GDS213 W1R1Ba,splib06
group.2um,,,carbonate calcite + 33% muscovite Ruby Areal,carbonate_calcite+0.3muscovite,Areal,"Calcite, Muscovite",Muscovite,Calcite + 33% Muscovite 77%,sl1/usgs/library06/ASCII/S/calc_musc_amx5.24493.asc,S,Calcite+.33Muscov AMX5 Ruby  W1R1Ba,splib06
group.2um,,,carbonate calcite + dolomite .5 areal,carbonate_calcite+dolomite.5,Areal,"Calcite, Dolomite",none,Calcite 50% dolomite 50%,sl1/usgs/library06/ASCII/S/calc_dolo_amx8.24521.asc,S,Calcite+Dolomite.5 AMX8      W1R1Bb,splib06
group.2um,,,calcite WS272 70%+kaolinite KGa-1 (wxl) 30%,carbonate_calcite0.7+kaol0.3,Areal,"Calcite, Kaolinite",Calcite,70% Calcite + 30% kaolinite,sl1/usgs/library06/ASCII/S/calc_kaol_amx9.24615.asc,S,Calcite.7+Kaolwxl.3 AMX9     W1R1Ba,splib06
group.2um,,,carbonate dolomite + 50% Ca-Montmorillonite Areal,carbonate_dolo+.5ca-mont,Areal,"Dolomite, Montmorillonite",none,50% Dolomite 50% Montmorillonite,sl1/usgs/library06/ASCII/S/dolo_mont_amx10.25052.asc,S,Dolomite.50+Ca-Montmor AMX10 W1R1Bb,splib06
group.2um,,,calcite.33+Ca-mont.67 AVIRIS,carbonate_smectite_calcite.33+Ca-mont.67,Areal,"Montmorillonite, Calcite",Montmorillonite,67% Montmorillonite 33% Calcite,sl1/usgs/library06/ASCII/S/calc_mont_amx19.24558.asc,S,Calcite.33+Ca-mont.67 AMX19  W1R1Bb,splib06
group.2um,,,chlorite-skarn BR22B,chlorite-skarn,Intimate,Chlorite,Chlorite,"Major: Lizardite, Trace: Chlorite (clinochlore), Antigorite, and Orthochrysotile",sl1/usgs/library06/ASCII/S/chlorite-serpentine_skarn_br93-22b.24951.asc,S,Chlorite_Serpentine BR93-22B W1R1Bb,splib06
group.2um,,,dickite +muscovite +gypsum +jarosite areal Mix,dick+musc+gyp+jar.amix,Areal,"Dickite, Muscovite, Jarosite",Dickite,"40% Dickite, 30% Muscovite, 20% Gypsum, 10% Jarosite",sl1/usgs/library06/ASCII/S/dick_musc_gyp_jar_amx20.24965.asc,S,Dic.4+msc.3+gyp.2+jr.1 AMX20 W1R1Ba,splib06
group.1um,,,Fe2+ goethite + muscovite CU91-252D,fe2+_goeth+musc,Intimate,Muscovite,Muscovite,"Quartz (major), muscovite (minor), clinochlore (trace)",sl1/usgs/library06/ASCII/S/muscovite-medhi-Al_CU91-252d.26143.asc,S,Goethite CU91-252 coatedchip W1R1H_,splib06
group.1um,,,Fe2+Fe3+ chlor + goethite phyl CU93-4B,fe2+fe3+_chlor+goeth.propylzone,Intimate,Goethite,Goethite,Goethite coated Chlorite Phyllite,sl1/usgs/library06/ASCII/S/chlorite_mixture_cu93-4b.24750.asc,S,Chlor+Goethite CU93-4B Phyl  W1R1Ba,splib06
group.1um,,,Fe2+Fe3+ hematite weathering,fe2+fe3+_hematite_weathering,Intimate,Calcite,Calcite,"Major: Calcite, Minor: Anorthite, Augite, Hematite, Trace: Montmorillonite",sl1/usgs/library06/ASCII/S/basalt_weathered_br93-43.24263.asc,S,Basalt_weathered BR93-43     W1R1Bb,splib06
group.1um,,,Fe2+Fe3+ mix ref= magnetite skarn+hematite weather BR5B,fe2+fe3+mix_with_hematite_br5b,Intimate,Hematite,Hematite,"Major: Phlogopite, Minor: Magnetite and magnesioferrite, Trace: Albite",sl1/usgs/library06/ASCII/S/magnetite_skarn_br5b.25904.asc,S,Magnetite_skarn BR93-5B      W1R1Hb AREF,splib06
group.1um,,,Fe3+ goethite + jarosite,fe3+_goeth+jarosite,"Intimate, Areal",Jarosite,Jarosite,"50% area Jarosite, 50% area Intimate mixture 98% quartz 2% Goethite",sl1/usgs/library06/ASCII/S/goet_qtz_jaro_amx11.25184.asc,S,Goeth+qtz.5+Jarosite.5 AMX11 W1R1BbS,splib06
group.1um,,,Fe3+ goethite thin coating WS222,fe3+_goethite.thincoat,Coating,Goethite,Goethite,,sl1/usgs/library06/ASCII/C/goethite_ws222_coating.26742.asc,C,Goethite_Thin_Film WS222     W1R1Ba,splib06
